
因此,c
众议院,n
当地,s
时间,n
今天,t
将,d
再次,d
对,p
最终版,n
法案,n
进行,v
表决,v



希腊,ns
议会,n
十九号,m
表决,v
通过,p
二零一,m
八年,t
预算案,n
预测,vn
希腊,ns
二零一,m
八年,t
的,uj
经济,n
增长率,n
将,d
从,p
今年,t
的,uj
百分之一点,m
六,m
提高,v
到,v
百分之二点,m
五,m
希腊,ns
总理,n
缉捕,v
拉斯,nrt
在,p
议会,n
表决,v
时说,n
预算案,n
预示,v
着,uz
希腊,ns
将,d
进入,v
后,f
救助,vn
时代,n
经济,n
将,d
恢复,v
常态,n



今天,t
的,uj
新闻联播,nz
播送,v
完,v
了,ul
感谢,v
收看,v
更多,d
的,uj
新闻资讯,nt
你,r
还,d
可以,c
关注,v
央视,j
新闻,n
移动网,n
下载,v
地址,n
给,p
搜索,v
央视,j
新闻,n
加,v
再见,v
再见,v


